ind,t,lon,lat
0,0.0000,13.4192,52.4967
0,1.1652,13.4207,52.4964
0,2.5136,13.4192,52.4967
0,4.5121,13.4192,52.4967
0,5.9163,13.4192,52.4967
0,7.6827,13.4207,52.4964
0,9.1329,13.4192,52.4967
0,10.2212,13.4111,52.5023
0,11.3494,13.4192,52.4967
0,12.8372,13.4446,52.4999
0,14.3700,13.3371,52.5055
0,15.8401,13.3736,52.4973
0,17.0650,13.4192,52.4967
0,18.5671,13.4127,52.5233
0,21.1348,13.3371,52.5055
0,26.9847,13.4192,52.4967
0,29.0625,13.4181,52.4992
0,30.8555,13.3739,52.5597
0,31.9755,13.4111,52.5023
0,33.1511,13.4235,52.5001
0,35.1074,13.4192,52.4967
0,36.3849,13.3925,52.4846
0,37.5587,13.4111,52.5023
0,39.1395,13.4192,52.4967
0,41.0073,13.4192,52.4967
0,42.9390,13.4192,52.4967
0,44.5986,13.4192,52.4967
0,52.6011,13.3739,52.5597
0,53.8759,13.4207,52.4964
0,55.6757,13.4192,52.4967
0,57.4960,13.4192,52.4967
0,59.3216,13.3371,52.5055
0,60.9491,13.4207,52.4964
0,62.2075,13.4257,52.4900
0,63.2131,13.4127,52.5233
0,64.3203,13.4111,52.5023
0,65.5629,13.4127,52.5233
0,66.9793,13.4471,52.5282
0,68.1433,13.4213,52.5208
0,75.2855,13.4937,52.5131
1,0.0000,13.3975,52.5355
1,4.9141,13.3975,52.5355
1,6.6907,13.3785,52.5139
1,8.2806,13.3787,52.5165
1,10.0813,13.3732,52.5104
1,11.9912,13.4138,52.5208
1,13.9116,13.3732,52.5104
1,15.0073,13.3732,52.5104
1,16.5481,13.3745,52.5100
1,18.4525,13.3785,52.5139
1,21.0023,13.2813,52.5100
1,28.5170,13.2965,52.5055
1,29.5179,13.3787,52.5165
1,31.1591,13.3746,52.5160
1,32.8362,13.3648,52.5189
1,34.1429,13.3748,52.5283
1,35.5246,13.3785,52.5139
1,36.8342,13.3815,52.5019
1,38.0956,13.3815,52.5019
1,39.8243,13.2575,52.4352
1,41.5547,13.3785,52.5139
1,42.5911,13.2846,52.5543
1,44.3590,13.4138,52.5208
1,52.7745,13.3745,52.5100
1,54.5163,13.3748,52.5283
1,56.2723,13.3785,52.5139
1,57.8484,13.3787,52.5165
1,59.4296,13.3980,52.5151
1,60.9636,13.2846,52.5543
1,62.0969,13.2956,52.5557
1,63.5142,13.3785,52.5139
1,64.5538,13.3735,52.5098
1,66.4759,13.2913,52.5518
1,68.2161,13.2902,52.5535
1,69.7405,13.3785,52.5139
1,74.1425,13.3782,52.5149
1,75.8905,13.3360,52.5055
2,0.0000,13.3766,52.4557
2,2.5868,13.3766,52.4557
2,3.7781,13.3766,52.4557
2,5.8365,13.3846,52.4931
2,7.4747,13.3766,52.4557
2,8.5717,13.3798,52.4384
2,9.7993,13.3843,52.4538
2,11.7809,13.3766,52.4557
2,12.9590,13.3766,52.4557
2,14.3246,13.3875,52.4661
2,15.6030,13.3903,52.4840
2,16.8833,13.3766,52.4557
2,17.9506,13.3766,52.4557
2,19.8215,13.3766,52.4557
2,28.2285,13.3836,52.4566
2,29.4282,13.3766,52.4557
2,31.3061,13.3833,52.4667
2,32.9530,13.3766,52.4557
2,34.8528,13.3307,52.4586
2,36.8365,13.3766,52.4557
2,38.0463,13.3321,52.4306
2,39.5519,13.3005,52.4097
2,40.8669,13.3766,52.4557
2,42.3710,13.3766,52.4557
2,44.6324,13.3766,52.4557
2,49.9184,13.3789,52.4606
2,52.1757,13.3789,52.4606
2,54.1060,13.4036,52.4633
2,55.3178,13.3766,52.4557
2,56.9675,13.3766,52.4557
2,58.8553,13.3514,52.4575
2,60.1811,13.3798,52.4384
2,61.9365,13.3474,52.4107
2,63.0304,13.3833,52.4667
2,64.5507,13.3789,52.4606
2,65.5612,13.3999,52.4991
2,66.5633,13.3766,52.4557
2,67.6555,13.3766,52.4557
2,75.2870,13.3816,52.4543
3,0.0000,13.4474,52.5040
3,2.9157,13.4474,52.5040
3,4.0879,13.4474,52.5040
3,6.0849,13.4474,52.5040
3,7.8461,13.4198,52.5124
3,9.3355,13.4474,52.5040
3,11.1859,13.4190,52.4971
3,13.0198,13.4190,52.4971
3,14.4982,13.4723,52.5119
3,15.9565,13.4474,52.5040
3,17.1385,13.3682,52.5487
3,18.7932,13.4474,52.5040
3,21.0639,13.4474,52.5040
